"Centro Nacional de Control de Energia"
"Energia de Importacion y Exportacion Liquidada"
"Sistema Baja California"
"Reporte Diario"
"Dia de Operacion: 09/jun/2025"
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 23/jun/2025 00:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema"
"Sistema"," Liquidacion"," Enlace Internacional"," Hora"," Importacion Comercial (MWh)"," Importacion por Pago de Energia Inadvertida (MWh)"," Importacion por Confiabilidad (MWh)"," Importacion de los CIL (MWh)"," Importacion Total (MWh)"," Exportacion Comercial (MWh)"," Exportacion por Cobro de Energia Inadvertida (MWh)"," Exportacion por Confiabilidad (MWh)"," Exportacion de los CIL (MWh)"," Exportacion Total (MWh)"," Fecha de Actualizacion"
"BCA","0","IMPERIAL IRRIGATION DISTRICT","14","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","IMPERIAL IRRIGATION DISTRICT","15","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","IMPERIAL IRRIGATION DISTRICT","16","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","IMPERIAL IRRIGATION DISTRICT","17","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","IMPERIAL IRRIGATION DISTRICT","18","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","IMPERIAL IRRIGATION DISTRICT","19","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","IMPERIAL IRRIGATION DISTRICT","20","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","IMPERIAL IRRIGATION DISTRICT","21","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","IMPERIAL IRRIGATION DISTRICT","22","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","IMPERIAL IRRIGATION DISTRICT","23","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","IMPERIAL IRRIGATION DISTRICT","24","0","0","0","0","0","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","1","0","94.29487","0","0","94.29487","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","2","0","74.02917","0","0","74.02917","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","3","0","67.73168","0","0","67.73168","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","4","0","56.33125","0","0","56.33125","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","5","0","52.97787","0","0","52.97787","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","6","0","23.0279","0","0","23.0279","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","7","0","0","100","0","100","0","28.05823","0","0","28.05823","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","8","0","0","190","0","190","0","29.64665","0","0","29.64665","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","9","76","0","190","0","266","0","38.44036","0","0","38.44036","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","10","140","0","190","0","330","0","68.8592","0","0","68.8592","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","11","188","16.72529","0","0","204.72529","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","12","180","49.71244","0","0","229.71244","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","13","180","16.12549","50","0","246.12549","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","14","205","28.80323","50","0","283.80323","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","15","205","1.94331","50","0","256.94331","0","0","0","0","0","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","16","175","0","150","0","325","0","75.58406","0","0","75.58406","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","17","185","0","180","0","365","0","109.19531","0","0","109.19531","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","18","175","0","100","0","275","0","59.19579","0","0","59.19579","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","19","160","0","150","0","310","0","130.33558","0","0","130.33558","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","20","170","0","100","0","270","0","139.8853","0","0","139.8853","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","21","195","0","100","0","295","0","127.98203","0","0","127.98203","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","22","195","0","100","0","295","0","134.00524","0","0","134.00524","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","23","185","0","0","0","185","0","79.98681","0","0","79.98681","23-Jun-2025 00:00:00"
"BCA","0","LA ROSITA - IMPERIAL VALLEY","24","175","0","0","0","175","0","86.01176","0","0","86.01176","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","1","0","0","0","0","0","0","87.63608","0","0","87.63608","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","2","0","0","0","0","0","0","81.74164","0","0","81.74164","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","3","0","0","0","0","0","0","59.69547","0","0","59.69547","23-Jun-2025 00:00:00"
"BCA","0","TIJUANA - OTAY MESA","4","0","0","0","0","0","0","56.88644","0","0","56.88644","23-Jun-2025 00:00:00"
